,date,new_cases,new_deaths,new_vaccinations,total_cases,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred
0,2020-01-05,2.0,3.0,0.0,2.0,3.0,0.0,0.0
1,2020-01-06,0.0,0.0,0.0,2.0,3.0,0.0,0.0
2,2020-01-07,0.0,0.0,0.0,2.0,3.0,0.0,0.0
3,2020-01-08,0.0,0.0,0.0,2.0,3.0,0.0,0.0
4,2020-01-09,0.0,0.0,0.0,2.0,3.0,0.0,0.0
5,2020-01-10,0.0,0.0,0.0,2.0,3.0,0.0,0.0
6,2020-01-11,0.0,0.0,0.0,2.0,3.0,0.0,0.0
7,2020-01-12,45.0,1.0,0.0,47.0,4.0,0.0,0.0
8,2020-01-13,0.0,0.0,0.0,47.0,4.0,0.0,0.0
9,2020-01-14,0.0,0.0,0.0,47.0,4.0,0.0,0.0
10,2020-01-15,0.0,0.0,0.0,47.0,4.0,0.0,0.0
11,2020-01-16,0.0,0.0,0.0,47.0,4.0,0.0,0.0
12,2020-01-17,0.0,0.0,0.0,47.0,4.0,0.0,0.0
13,2020-01-18,0.0,0.0,0.0,47.0,4.0,0.0,0.0
14,2020-01-19,90.0,2.0,0.0,137.0,6.0,0.0,0.0
15,2020-01-20,0.0,0.0,0.0,137.0,6.0,0.0,0.0
16,2020-01-21,0.0,0.0,0.0,137.0,6.0,0.0,0.0
17,2020-01-22,0.0,0.0,0.0,137.0,6.0,0.0,0.0
18,2020-01-23,0.0,0.0,0.0,137.0,6.0,0.0,0.0
19,2020-01-24,0.0,0.0,0.0,137.0,6.0,0.0,0.0
20,2020-01-25,0.0,0.0,0.0,137.0,6.0,0.0,0.0
21,2020-01-26,1896.0,56.0,0.0,2032.0,62.0,0.0,0.0
22,2020-01-27,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
23,2020-01-28,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
24,2020-01-29,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
25,2020-01-30,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
26,2020-01-31,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
27,2020-02-01,0.0,0.0,0.0,2032.0,62.0,0.0,0.0
28,2020-02-02,12538.0,310.0,0.0,14570.0,372.0,0.0,0.0
29,2020-02-03,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
30,2020-02-04,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
31,2020-02-05,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
32,2020-02-06,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
33,2020-02-07,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
34,2020-02-08,0.0,0.0,0.0,14570.0,372.0,0.0,0.0
35,2020-02-09,22985.0,545.0,0.0,37555.0,917.0,0.0,0.0
36,2020-02-10,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
37,2020-02-11,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
38,2020-02-12,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
39,2020-02-13,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
40,2020-02-14,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
41,2020-02-15,0.0,0.0,0.0,37555.0,917.0,0.0,0.0
42,2020-02-16,31449.0,864.0,0.0,69004.0,1781.0,0.0,0.0
43,2020-02-17,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
44,2020-02-18,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
45,2020-02-19,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
46,2020-02-20,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
47,2020-02-21,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
48,2020-02-22,0.0,0.0,0.0,69004.0,1781.0,0.0,0.0
49,2020-02-23,9242.0,690.0,0.0,78246.0,2471.0,0.0,0.0
50,2020-02-24,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
51,2020-02-25,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
52,2020-02-26,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
53,2020-02-27,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
54,2020-02-28,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
55,2020-02-29,0.0,0.0,0.0,78246.0,2471.0,0.0,0.0
56,2020-03-01,8268.0,515.0,0.0,86514.0,2986.0,0.0,0.0
57,2020-03-02,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
58,2020-03-03,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
59,2020-03-04,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
60,2020-03-05,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
61,2020-03-06,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
62,2020-03-07,0.0,0.0,0.0,86514.0,2986.0,0.0,0.0
63,2020-03-08,20206.0,649.0,0.0,106720.0,3635.0,0.0,0.0
64,2020-03-09,0.0,0.0,0.0,106720.0,3635.0,0.0,0.0
65,2020-03-10,0.0,0.0,0.0,106720.0,3635.0,0.0,0.0
66,2020-03-11,0.0,0.0,0.0,106720.0,3635.0,0.0,0.0
67,2020-03-12,0.0,0.0,0.0,106720.0,3635.0,0.0,0.0
